Official Name of Satellite,Country/Organization of UN Registry,Longitude,Latitude,Operator/Owner,Country of Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of Geosynchronous Orbit (Degrees),Perigee (Kilometers),Apogee (Kilometers),Eccentricity,Inclination (Degrees),Period (Minutes),Launch Mass (Kilograms),Dry Mass (Kilograms),Power (Watts),Expected Lifetime (Years),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Launch Year
Cubebug 1,Argentina,-95.712891,37.09024,"Argentinian Ministry of Science, Technology and Productive Innovation/Radio Club Bariloche",Argentina,Civil,Technology Development,Radar Imaging,LEO,Sun-Synchronous,0,630,653,0.00164,98.05,97.55,2,3700,3600,2 yr.,"Argentinian Ministry of Science, Technology and Productive Innovation",Argentina,Jiuquan Satellite Launch Center,CZ-2D,2013-018D,39153,2013
Cubebug 2,Argentina,-95.712891,37.09024,"Argentinian Ministry of Science, Technology and Productive Innovation/Radio Club Bariloche",Argentina,Civil,Technology Development,Radar Imaging,LEO,Sun-Synchronous,0,594,715,0.00861,97.8,97.8,2,3700,3600,3 yr.,"Argentinian Ministry of Science, Technology and Productive Innovation",Argentina,Dombarovsky Air Base,Dnepr,2013-066AA,39440,2013
BRITE-CA-1,Canada,-95.712891,37.09024,"University of Toronto, Institute for Aerospace Studies",Canada,Civil,Space Science,Optical Imaging,LEO,Sun-Synchronous,0,613,739,0.00894,97.97,98.27,10,"1,050 (BOL)","1,800 (BOL)",15,"University of Toronto, Institute for Aerospace Studies",Canada,Dombarovsky Air Base,Dnepr,2014-033L,40020,2014
BeijinGalaxy-1,China,-95.712891,37.09024,Beijing Landview Mapping Information Technology Co. Ltd (BLMIT),China,Civil,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,681,703,0.00156,97.9,98.6,166,155,50,7,Tsinghua University/University of Surrey,China/United Kingdom,Plesetsk Cosmodrome,Kosmos 3M,2005-043A,28890,2005
DCBB,China,-3.435973,55.378052,China Amateur Satellite - CAMSAT,China,Civil,Technology Development,Radar Imaging,LEO,Sun-Synchronous,0,514,536,0.0016,97.46,95.13,3,1,5200,2, Shenzhen Aerospace Dongfanghong HIT Satellite Ltd./CAMSAT,China,Taiyuan Launch Center,Long March 6,2015-049P,40912,2015
KJSY-1,China,104.195396,35.86166,Tsinghua University,China,Civil,Technology Development,Optical Imaging,LEO,Sun-Synchronous,0,520,540,0.00145,97.46,95.23,1,2450,5500,5,Tsinghua University,China,Taiyuan Launch Center,Long March 6,2015-049R,40914,2015
LilacSat-2,China,104.195396,35.86166,Harbin Institute/China Amateur Satellite - CAMSAT,China,Civil,Technology Development,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,520,541,0.00152,97.47,95.24,11,12,14,5,Harbin Institute of Technology,China,Taiyuan Launch Center,Long March 6,2015-049K,40908,2015
BeeSat-1,Germany,-95.712891,37.09024,Institut für Luft- und Raumfahrt,Germany,Civil,Technology Development,Electronic Intelligence,LEO,Sun-Synchronous,0,709,718,0.000635,98.3,99,1,1487,6000,1 yr.,Technische Universität Berlin,Germany,Satish Dhawan Space Center,PSLV,2009-051C,35933,2009
BeeSat-2,Germany,-95.712891,37.09024,Institut für Luft- und Raumfahrt,Germany,Civil,Technology Development,Electronic Intelligence,LEO,Non-Polar Inclined,0,555,579,0.00173,64.8,96.01,1,1487,6000,1 yr.,Technische Universität Berlin,Germany,Baikonur Cosmodrome,Soyuz 2.1a,2013-015G,39136,2013
BeeSat-3,Germany,53.847816,23.424076,Institut für Luft- und Raumfahrt,Germany,Civil,Technology Development,Electronic Intelligence,LEO,Non-Polar Inclined,0,554,581,0.00195,64.8,96.01,1,1487,6000,1 yr.,Technische Universität Berlin,Germany,Baikonur Cosmodrome,Soyuz 2.1a,2013-015E,39134,2013
